amount,hour,distance_km,frequency_24h,new_device,international,merchant_risk,fraud
110.24,11,7.17,1,1,0,0.029,0
239.62,5,0.1,0,0,0,0.242,0
37.56,14,50.82,3,0,0,0.035,0
99.36,21,1.99,1,0,1,0.696,0
37.42,20,19.47,3,0,1,0.88,0
27.49,2,1.76,1,1,0,0.215,0
237.87,15,1.75,5,0,1,0.722,0
27.17,12,2.76,0,0,0,0.725,0
762.58,10,2.41,3,0,1,0.664,0
691.88,3,18.25,3,0,0,0.104,0
7.4,4,23.39,2,0,0,0.782,0
160.89,11,9.72,1,0,0,0.34,0
27.68,10,2.09,5,0,0,0.202,0
113.73,15,10.2,2,1,0,0.423,0
77.94,8,38.55,1,1,1,0.211,0
5.1,12,5.74,5,0,0,0.953,0
72.11,6,7.45,5,0,0,0.187,0
242.23,12,52.21,3,0,0,0.991,0
83.26,3,9.79,2,0,1,0.818,0
430.09,23,18.39,5,0,0,0.057,0
31.66,22,4.01,2,0,1,0.888,0
438.09,6,3.5,1,0,1,0.717,0
64.5,13,7.14,2,1,1,0.28,0
17.63,5,2.16,4,1,0,0.204,0
113.95,6,5.61,10,0,0,0.958,1
365.3,8,12.55,3,0,0,0.44,0
79.63,7,19.83,2,1,1,0.876,1
83.07,1,29.83,3,0,1,0.459,0
73.97,12,28.37,2,0,1,0.494,0
7.46,14,21.62,0,1,0,0.959,0
508.3,8,0.78,2,1,0,0.072,0
447.37,17,22.36,2,1,0,0.016,0
298.43,18,1.25,5,0,1,0.233,0
102.63,21,3.22,3,0,1,0.7,0
73.84,18,4.91,1,0,0,0.956,0
48.65,14,11.44,3,1,1,0.575,0
325.3,9,1.28,3,0,0,0.864,0
152.44,12,0.65,4,1,1,0.807,0
20.96,6,18.16,2,0,1,0.865,0
41.99,6,11.87,2,0,0,0.22,0
95.18,20,8.7,3,1,0,0.462,0
38.54,6,1.99,3,1,0,0.104,0
135.03,16,8.27,0,1,0,0.353,0
503.06,10,10.55,1,0,0,0.445,0
496.22,15,30.15,4,1,0,0.681,0
134.79,4,0.99,2,1,1,0.28,0
27.48,4,3.12,5,0,1,0.059,0
179.05,14,1.48,3,1,1,0.97,1
19.73,0,17.8,6,0,1,0.708,1
41.16,3,34.9,2,1,0,0.897,1
33.86,15,8.73,3,0,0,0.329,0
53.44,5,9.0,7,0,0,0.095,0
93.1,20,17.87,3,0,1,0.939,0
198.29,15,4.75,1,1,0,0.103,0
92.2,16,29.48,3,0,0,0.913,0
13.0,17,25.52,5,1,1,0.322,1
125.86,7,8.8,2,0,0,0.277,0
150.82,9,13.42,7,0,0,0.545,1
156.42,9,5.9,4,1,1,0.358,0
34.35,7,4.92,1,1,1,0.2,0
56.9,5,1.59,5,0,1,0.777,0
43.26,6,10.03,2,1,0,0.497,0
161.49,0,9.86,2,1,0,0.235,0
10.37,16,23.39,1,1,1,0.408,0
41.91,18,21.11,4,0,1,0.093,0
260.04,1,7.81,2,0,1,0.488,0
41.77,5,1.9,5,0,1,0.809,0
261.82,21,7.5,2,0,1,0.247,0
152.31,17,32.35,6,0,1,0.294,1
10.05,10,4.08,3,1,0,0.869,0
27.97,19,3.98,0,1,0,0.215,0
462.62,3,15.37,3,0,0,0.704,0
11.98,0,7.86,6,1,0,0.136,0
36.25,0,8.54,3,0,0,0.795,0
74.06,9,24.69,6,1,0,0.671,1
86.73,18,50.54,4,0,1,0.974,1
346.74,21,8.68,5,0,0,0.717,0
24.91,10,14.22,0,1,1,0.658,0
75.73,10,6.25,4,0,0,0.319,0
143.23,11,42.93,5,0,0,0.093,0
48.6,5,13.93,4,1,0,0.69,0
26.86,10,4.45,4,0,0,0.505,0
41.76,2,10.36,2,1,0,0.309,0
19.63,18,4.63,2,0,0,0.977,0
65.43,23,11.01,3,0,1,0.514,0
197.07,0,5.82,3,1,1,0.185,0
39.47,15,9.68,1,0,1,0.285,0
129.79,8,16.25,4,0,1,0.269,0
8.73,23,1.23,6,1,1,0.335,0
10.18,13,27.17,3,1,1,0.411,0
230.99,19,10.51,1,1,1,0.083,0
55.36,3,5.96,2,1,0,0.822,1
101.43,10,2.25,5,0,0,0.651,0
14.82,14,52.14,3,0,1,0.177,0
25.26,19,3.67,4,0,1,0.018,0
214.39,15,13.92,1,1,0,0.713,0
62.83,16,12.91,6,0,1,0.208,0
124.86,17,1.82,7,1,0,0.314,0
67.39,17,27.45,4,1,0,0.495,0
212.73,13,2.08,2,1,1,0.582,0
37.63,21,33.74,2,1,0,0.117,0
6.52,20,9.05,6,0,0,0.716,0
25.07,21,41.23,6,1,1,0.407,1
114.0,14,1.24,3,0,0,0.142,0
85.47,5,22.81,3,0,0,0.53,0
50.21,1,25.41,3,1,0,0.614,1
214.53,7,0.47,3,1,0,0.838,0
35.73,2,44.76,2,1,1,0.58,1
20.34,3,2.63,5,0,1,0.561,1
157.62,0,27.16,3,0,0,0.173,0
32.66,7,3.17,3,0,0,0.293,0
83.06,16,13.42,4,0,1,0.136,0
15.24,20,32.43,2,1,0,0.189,0
14.66,11,13.69,4,1,1,0.256,0
33.83,3,6.78,2,0,0,0.856,0
608.41,17,3.74,1,0,0,0.437,0
105.72,15,15.52,2,1,0,0.494,0
49.73,22,12.59,6,0,1,0.7,0
43.6,22,0.39,3,0,0,0.13,0
83.42,21,11.93,2,1,0,0.733,0
75.84,16,69.44,4,0,1,0.107,0
135.97,19,20.52,3,1,1,0.85,0
511.9,3,10.2,2,1,0,0.356,0
47.73,16,11.39,3,0,0,0.084,0
948.37,16,11.03,2,0,0,0.826,0
9.62,1,0.39,5,1,0,0.269,0
83.15,21,14.8,4,0,0,0.609,0
31.99,23,13.16,3,0,0,0.721,0
112.61,5,8.97,8,0,1,0.785,1
17.35,8,9.5,3,1,0,0.204,0
28.96,9,36.18,3,1,0,0.403,0
68.72,19,7.7,4,1,1,0.412,0
16.79,2,8.95,2,0,1,0.199,0
1552.81,2,4.14,1,1,1,0.747,1
214.56,6,0.11,0,1,0,0.475,0
152.66,23,3.84,0,1,1,0.64,0
98.98,6,1.82,2,0,1,0.871,0
110.92,14,53.72,1,1,0,0.718,0
57.59,21,5.89,3,1,1,0.439,0
85.75,16,0.8,2,0,0,0.791,0
52.55,9,7.86,2,1,0,0.476,0
23.14,21,1.72,2,0,0,0.512,0
55.21,4,8.9,0,1,1,0.885,1
287.26,6,5.23,4,0,0,0.479,0
92.77,3,0.23,1,0,0,0.574,0
345.12,4,25.66,5,1,1,0.732,1
185.26,14,6.54,1,0,1,0.853,0
661.5,12,23.74,5,0,1,0.865,0
84.23,6,34.33,0,0,1,0.144,0
79.66,19,3.48,1,0,0,0.957,0
44.38,14,20.62,1,1,1,0.706,0
229.87,17,24.23,4,1,0,0.26,0
43.84,8,11.48,5,1,0,0.364,0
129.44,20,23.73,3,1,1,0.975,1
12.11,23,6.51,3,0,1,0.984,0
42.24,18,13.05,0,0,0,0.303,0
286.45,15,0.82,2,0,1,0.662,0
113.9,16,7.63,6,1,1,0.419,1
262.79,11,22.34,0,0,0,0.864,0
40.18,18,58.47,3,1,1,0.663,1
53.89,15,30.31,4,1,0,0.179,0
12.38,17,3.34,4,0,1,0.464,0
66.75,5,3.19,3,1,0,0.617,0
154.62,23,9.94,4,1,1,0.089,0
53.6,15,23.3,1,1,1,0.732,0
74.1,19,9.73,8,1,1,0.658,1
25.85,13,29.05,3,1,0,0.359,0
28.55,5,4.11,5,1,0,0.859,1
67.79,17,6.19,3,0,1,0.58,0
146.9,20,7.1,3,0,1,0.112,0
46.63,5,10.04,4,0,1,0.375,0
136.57,13,15.38,5,1,1,0.075,0
215.23,7,15.09,1,0,1,0.286,0
41.55,13,9.47,1,0,0,0.82,0
21.02,2,0.06,4,1,1,0.141,0
7.01,19,12.29,1,0,0,0.735,0
85.75,13,7.71,3,0,1,0.162,0
32.13,12,9.0,3,0,1,0.374,0
73.05,6,8.62,8,0,1,0.01,0
34.09,23,54.24,5,1,1,0.064,0
52.05,4,21.68,3,1,0,0.839,1
98.16,19,25.31,3,1,0,0.404,0
46.37,18,6.52,4,1,1,0.142,0
186.58,14,0.2,3,0,0,0.7,0
30.26,9,25.22,4,0,1,0.113,0
35.28,19,11.38,2,1,1,0.258,0
44.28,11,5.23,3,0,0,0.041,0
102.87,0,29.81,3,0,1,0.582,0
22.24,5,3.18,4,0,0,0.972,0
211.07,2,17.89,5,0,0,0.744,0
11.1,9,11.31,1,1,0,0.784,0
55.97,19,24.93,5,1,1,0.88,0
94.31,20,1.02,4,0,1,0.065,0
14.74,0,43.16,4,1,1,0.763,1
96.19,20,10.23,2,0,1,0.632,0
152.77,20,36.36,1,1,0,0.403,0
84.26,7,8.7,2,0,1,0.931,0
62.27,15,23.12,5,0,0,0.784,0
60.96,22,22.15,5,0,0,0.898,0
65.32,23,0.3,4,0,0,0.702,0
173.1,18,15.95,5,0,1,0.77,0
51.22,14,0.53,5,0,0,0.108,0
40.73,1,12.23,5,0,1,0.759,1
159.18,9,25.97,6,0,0,0.796,0
120.67,7,9.77,2,0,1,0.771,0
191.48,23,5.88,3,1,0,0.102,0
21.38,21,7.73,3,1,1,0.523,0
203.79,1,7.9,5,1,0,0.931,1
56.1,5,42.7,4,1,1,0.075,1
26.4,14,21.67,2,1,1,0.667,0
143.72,8,3.41,3,0,1,0.478,0
93.05,2,2.16,7,0,1,0.749,1
22.56,19,21.74,6,1,1,0.649,1
52.7,17,4.37,0,1,0,0.523,0
126.36,10,19.96,2,0,1,0.43,0
11.33,4,0.17,2,1,1,0.909,0
115.06,19,34.37,4,0,0,0.045,0
54.09,16,0.48,3,1,1,0.807,0
111.61,20,0.07,5,1,0,0.864,0
7.19,21,48.35,4,1,0,0.449,0
329.72,23,5.28,4,1,0,0.596,0
36.14,1,6.96,3,1,0,0.994,1
37.17,10,2.16,1,0,1,0.815,0
52.46,0,18.76,1,1,1,0.642,0
115.49,13,14.96,6,1,1,0.961,0
57.84,2,31.09,5,0,0,0.563,0
315.51,6,11.95,2,0,1,0.555,0
52.69,6,0.74,3,1,0,0.193,0
345.41,18,9.4,3,0,0,0.139,0
54.42,5,8.56,3,1,0,0.49,0
67.11,19,9.25,6,1,1,0.851,1
13.57,16,0.25,2,0,1,0.083,0
29.81,5,31.97,4,1,0,0.44,0
89.55,21,11.37,3,1,0,0.233,0
15.59,1,33.97,2,1,0,0.701,0
361.26,21,7.87,2,0,1,0.403,0
82.67,16,32.64,7,0,1,0.854,1
46.67,19,4.32,1,0,1,0.528,0
60.98,5,5.83,3,1,1,0.31,0
355.76,15,7.04,6,1,1,0.376,0
145.75,14,45.79,3,1,1,0.908,1
9.97,22,0.31,5,1,1,0.747,0
43.88,6,1.97,2,1,0,0.908,0
167.1,0,1.02,3,0,1,0.234,0
28.47,11,2.94,3,0,1,0.33,0
95.35,20,12.4,2,1,0,0.597,0
6.87,12,9.13,3,1,1,0.914,0
37.01,10,21.03,2,0,0,0.555,0
74.46,11,15.91,0,0,1,0.368,0
137.84,4,9.35,2,1,1,0.674,1
41.15,12,17.3,3,0,0,0.86,0
168.45,20,3.01,1,0,0,0.191,0
15.04,8,22.74,3,1,1,0.422,0
55.32,0,8.51,6,0,0,0.943,0
80.18,3,14.56,5,0,1,0.154,0
13.84,11,0.47,2,1,1,0.97,0
242.9,20,3.18,4,1,0,0.45,0
89.28,10,54.05,3,1,1,0.498,1
22.03,20,21.74,1,1,0,0.36,0
115.97,8,42.54,0,1,1,0.02,0
28.87,23,19.48,1,0,0,0.391,0
34.74,17,28.71,2,1,1,0.87,0
16.92,1,19.23,2,1,1,0.087,0
46.44,14,47.3,2,0,0,0.063,0
7.4,19,1.62,4,1,0,0.677,0
82.73,7,25.36,4,1,0,0.084,0
425.03,4,1.16,1,0,1,0.302,0
42.68,12,0.85,2,0,1,0.581,0
6.65,12,1.28,3,1,0,0.957,0
41.25,22,13.93,5,0,1,0.855,0
62.19,0,32.25,3,0,1,0.533,1
77.62,10,7.72,4,0,0,0.526,0
62.41,3,5.55,3,1,1,0.192,0
305.54,21,5.01,3,0,1,0.328,0
55.21,5,48.99,3,0,0,0.977,0
44.84,6,18.2,1,1,0,0.638,0
94.52,3,21.55,3,1,1,0.96,1
104.01,9,2.44,5,1,1,0.458,1
53.84,14,18.18,1,0,0,0.678,0
52.24,2,19.85,5,1,0,0.76,1
34.75,6,16.13,5,1,1,0.017,0
138.25,16,29.16,1,1,1,0.942,1
14.08,4,33.38,7,1,1,0.063,1
74.94,19,0.24,5,1,1,0.035,0
161.99,2,65.39,6,1,1,0.746,1
63.01,14,2.73,2,0,1,0.243,0
11.67,14,2.37,3,1,0,0.585,0
56.55,0,7.8,3,0,1,0.778,0
137.95,10,3.29,8,1,0,0.326,1
83.7,7,31.43,2,1,1,0.822,1
22.55,12,3.01,3,0,1,0.662,0
655.54,3,19.17,2,1,1,0.45,0
169.13,5,4.24,3,1,1,0.84,0
77.67,12,8.67,2,1,1,0.527,0
1067.28,19,17.1,2,1,0,0.187,0
49.77,19,14.55,4,1,1,0.607,1
14.7,4,6.72,6,0,1,0.696,0
56.42,14,0.16,8,0,0,0.66,0
71.34,14,2.99,3,0,0,0.818,0
13.83,14,21.39,6,1,1,0.59,1
133.15,22,1.84,2,1,1,0.457,0
178.63,14,19.11,4,0,0,0.22,0
16.06,17,31.87,3,1,0,0.929,0
34.76,22,3.69,6,1,1,0.813,1
19.57,21,8.71,1,0,0,0.105,0
18.07,3,7.3,1,1,1,0.938,1
103.57,20,5.41,3,1,0,0.475,0
72.98,21,12.12,3,0,1,0.146,0
53.44,4,0.47,5,1,1,0.717,1
90.75,10,2.68,4,0,0,0.916,0
45.21,0,6.69,0,0,1,0.82,0
34.72,7,13.53,3,1,1,0.821,1
44.71,10,49.02,3,0,0,0.021,0
51.95,11,0.56,5,0,1,0.177,0
67.89,16,5.64,3,0,0,0.068,0
111.17,13,6.27,2,0,1,0.116,0
32.01,3,9.76,3,0,0,0.351,0
49.71,3,40.73,3,0,0,0.877,0
37.45,8,29.11,3,1,1,0.056,0
35.63,16,30.13,3,0,1,0.041,0
146.92,7,1.01,4,1,0,0.29,0
32.8,7,13.84,5,0,1,0.317,0
57.07,2,21.55,5,1,1,0.198,1
23.98,8,15.7,4,0,0,0.548,0
134.72,0,23.85,0,0,0,0.55,0
200.55,14,4.84,2,0,1,0.152,0
79.01,21,29.05,2,0,1,0.764,0
462.48,16,12.64,1,0,0,0.179,0
8.09,23,21.2,5,1,1,0.557,1
33.31,0,1.23,6,1,1,0.246,1
128.42,21,39.69,3,0,0,0.867,0
14.03,17,7.04,4,0,1,0.308,0
56.34,22,5.87,4,1,1,0.402,0
71.62,7,38.41,2,1,1,0.859,1
51.98,20,0.93,6,1,0,0.399,0
63.72,19,9.34,2,1,0,0.098,0
155.93,0,6.08,2,0,1,0.0,0
196.99,17,19.54,1,0,0,0.372,0
16.26,8,0.28,2,0,0,0.85,0
17.77,11,4.55,2,1,0,0.367,0
103.96,6,48.59,2,0,0,0.596,0
20.55,1,0.78,6,1,1,0.349,1
450.62,22,36.95,2,1,1,0.636,1
60.15,11,0.53,2,0,1,0.365,0
83.97,12,8.63,6,0,0,0.099,0
55.89,4,23.44,0,1,1,0.172,0
46.16,15,0.46,0,1,1,0.35,0
32.06,21,7.21,4,1,0,0.097,0
360.69,8,16.53,2,0,0,0.891,0
96.03,6,39.58,4,1,1,0.866,1
8.87,22,5.54,2,0,1,0.174,0
35.28,13,44.03,2,1,0,0.701,0
113.36,23,4.98,3,0,0,0.369,0
101.46,1,21.82,5,1,1,0.997,1
227.75,14,12.71,3,0,0,0.774,0
87.25,14,27.38,2,0,0,0.037,0
51.7,7,25.58,4,1,1,0.995,1
55.99,20,6.44,4,0,1,0.789,0
89.25,5,79.95,1,1,1,0.304,0
114.89,5,40.05,8,0,1,0.822,1
35.16,6,26.4,1,0,0,0.778,0
48.14,12,8.78,2,0,0,0.933,0
117.87,22,38.42,3,1,0,0.395,0
77.0,17,33.06,5,1,1,0.525,1
60.04,5,29.26,5,1,1,0.529,0
154.36,11,46.46,5,1,1,0.914,1
31.78,20,6.53,2,0,0,0.17,0
122.07,19,7.27,4,0,1,0.582,0
226.66,4,10.97,2,0,1,0.538,0
66.21,5,4.1,1,1,0,0.407,0
60.93,14,5.2,1,0,0,0.365,0
23.17,10,18.11,6,0,0,0.16,0
46.21,12,1.31,1,1,0,0.455,0
34.41,1,7.57,3,1,0,0.464,0
181.24,13,39.34,2,0,1,0.638,0
51.4,20,46.09,1,0,0,0.648,0
50.17,14,2.82,4,0,0,0.51,0
196.54,0,7.15,2,0,0,0.255,0
61.74,20,64.57,4,0,1,0.435,0
115.79,3,3.61,3,1,0,0.325,0
46.56,12,26.59,2,1,0,0.192,0
98.18,7,6.43,5,0,1,0.711,0
55.93,15,37.43,4,1,1,0.272,1
241.31,1,12.04,3,0,1,0.548,0
84.09,11,4.4,4,1,0,0.897,0
16.38,9,22.39,3,0,1,0.524,0
40.97,21,13.95,2,1,0,0.026,0
18.85,9,25.69,7,0,0,0.751,1
114.37,11,34.83,2,0,0,0.764,0
146.4,9,21.83,5,0,0,0.169,0
86.24,20,10.45,2,1,1,0.185,0
40.24,17,0.86,3,1,0,0.377,0
21.35,15,4.32,1,1,1,0.741,0
63.67,2,6.96,4,1,0,0.506,1
34.24,10,2.45,3,1,0,0.28,0
169.01,2,42.3,4,0,0,0.526,0
45.15,11,3.89,1,0,0,0.121,0
105.31,22,2.4,5,0,0,0.143,0
41.27,0,75.08,2,0,1,0.126,0
199.11,13,3.06,7,1,1,0.775,1
24.15,7,3.97,1,0,1,0.631,0
46.76,0,2.58,3,0,0,0.88,0
119.12,10,28.96,6,1,0,0.667,0
356.44,3,5.48,3,0,1,0.677,0
15.94,14,2.88,3,0,0,0.001,0
18.7,3,5.09,5,1,0,0.602,1
106.72,0,0.09,4,0,0,0.36,0
323.6,9,41.27,6,1,1,0.85,1
154.49,18,7.0,3,1,1,0.729,0
136.52,20,0.51,3,1,0,0.147,0
22.94,7,0.1,3,0,0,0.104,0
86.66,9,5.41,4,1,0,0.181,0
111.17,2,21.39,3,1,0,0.911,1
82.5,5,29.23,6,1,1,0.64,1
90.41,13,0.72,3,1,1,0.47,0
141.72,2,20.07,6,1,0,0.542,1
5.84,3,21.51,2,1,0,0.336,0
8.7,6,8.18,2,0,1,0.92,0
20.29,17,0.03,4,0,1,0.242,0
72.7,1,12.93,2,1,0,0.427,0
45.18,5,37.82,2,1,1,0.042,0
17.57,3,37.54,5,1,1,0.061,1
336.97,16,7.23,2,1,1,0.123,0
54.18,7,0.21,5,0,0,0.273,0
81.16,23,3.39,4,0,0,0.623,0
169.7,14,32.02,3,1,1,0.472,1
561.14,11,11.12,4,0,0,0.971,0
62.84,20,27.36,3,0,0,0.732,0
80.27,0,0.39,4,1,1,0.456,0
19.2,22,17.46,1,0,1,0.224,0
63.58,3,11.15,2,0,1,0.322,1
18.9,20,21.25,2,0,1,0.24,0
42.37,7,5.42,6,1,0,0.782,0
142.88,18,6.92,1,0,1,0.916,0
95.37,12,67.86,5,1,1,0.087,1
171.98,10,20.22,2,0,1,0.11,0
85.74,18,7.27,6,0,0,0.385,0
213.91,4,9.13,1,0,1,0.546,0
24.97,12,11.37,3,1,1,0.852,1
225.1,17,13.0,2,1,0,0.312,0
37.64,18,18.7,3,1,0,0.146,0
45.72,13,49.49,3,0,0,0.531,0
48.76,4,8.18,3,1,0,0.477,0
416.48,8,27.91,3,0,0,0.677,0
31.33,5,10.46,6,0,1,0.343,0
107.9,21,0.86,4,0,1,0.989,0
101.34,6,10.6,4,0,1,0.736,0
73.49,15,58.98,4,1,0,0.368,1
30.25,8,0.05,3,1,1,0.545,0
21.2,6,7.16,3,1,0,0.436,0
21.07,13,3.44,3,0,1,0.528,0
197.77,13,3.73,3,1,1,0.359,0
30.23,6,1.11,2,1,1,0.004,0
19.83,9,16.58,4,0,1,0.492,0
173.12,20,0.73,2,0,1,0.332,0
123.11,19,1.18,1,0,0,0.707,0
64.23,1,4.05,3,1,0,0.052,0
39.14,0,5.6,1,0,1,0.267,0
4.3,5,17.75,5,0,1,0.349,0
30.34,13,77.35,3,1,1,0.785,1
55.64,16,24.22,2,0,0,0.409,0
22.55,0,0.35,2,1,1,0.766,0
22.58,1,2.44,5,0,0,0.623,0
515.22,5,22.4,3,0,0,0.98,0
11.97,13,4.96,3,0,0,0.557,0
88.35,17,9.07,3,0,1,0.174,0
29.46,20,1.85,4,1,1,0.295,0
79.28,20,26.46,2,1,1,0.681,1
19.4,10,23.43,1,1,1,0.527,0
216.12,3,24.94,1,0,0,0.699,0
46.61,8,5.97,1,0,0,0.616,0
360.17,21,10.41,0,0,0,0.835,0
255.99,16,7.05,5,1,1,0.431,0
26.2,5,76.8,2,1,1,0.649,1
23.75,20,46.99,5,1,0,0.888,1
17.55,1,5.16,4,0,0,0.977,0
24.05,0,12.2,1,1,1,0.924,1
223.19,7,15.36,1,0,0,0.258,0
332.58,6,0.63,3,0,1,0.892,0
36.04,1,6.08,4,1,1,0.168,0
194.54,0,16.82,4,0,0,0.84,0
62.07,2,38.51,3,0,0,0.313,0
49.74,3,14.87,1,1,0,0.665,0
56.44,21,2.05,6,0,1,0.403,0
144.65,11,11.48,4,1,0,0.47,0
8.74,23,4.95,5,1,1,0.947,1
45.31,16,10.47,2,1,0,0.04,0
35.38,4,4.53,4,1,0,0.462,1
148.96,5,5.4,1,1,1,0.13,0
138.94,18,21.1,3,0,0,0.405,0
181.67,22,11.38,3,1,0,0.911,0
125.55,16,0.7,3,0,1,0.132,0
94.63,13,45.36,4,1,0,0.057,0
29.12,9,20.84,2,1,1,0.15,0
86.2,5,1.81,3,0,0,0.113,0
45.77,20,4.22,5,0,0,0.079,0
39.23,20,23.56,4,1,1,0.441,1
7.14,19,10.25,2,1,0,0.623,0
196.55,13,11.97,0,1,0,0.383,0
25.07,6,6.65,0,1,0,0.015,0
64.29,13,16.34,3,0,0,0.393,0
445.32,8,17.6,1,0,1,0.583,0
165.3,3,8.48,2,0,0,0.735,0
41.53,17,1.84,1,1,0,0.439,0
822.96,21,31.24,5,1,1,0.958,1
190.73,3,16.5,3,0,1,0.933,1
28.78,21,15.55,1,0,0,0.515,0
42.28,1,7.29,2,0,0,0.278,0
190.71,21,18.31,0,1,0,0.82,0
156.24,18,0.26,5,0,1,0.712,0
101.07,13,34.13,4,0,0,0.494,0
19.97,7,7.26,2,1,1,0.405,0
60.97,19,1.33,3,0,1,0.51,0
157.66,21,28.27,1,1,1,0.3,0
453.13,3,1.89,2,1,1,0.279,0
79.27,10,5.71,4,1,1,0.474,0
55.21,3,8.25,2,1,0,0.701,0
54.09,13,3.31,2,0,1,0.756,0
112.52,16,2.87,5,0,1,0.172,0
10.9,9,2.32,2,1,1,0.405,0
44.77,18,16.85,3,1,1,0.338,0
59.24,10,53.89,1,1,1,0.259,0
96.23,22,23.71,4,0,1,0.699,0
62.74,6,1.93,3,0,1,0.697,0
52.37,9,9.91,5,0,1,0.871,0
40.56,12,3.95,6,0,1,0.439,0
72.34,1,7.06,2,0,1,0.117,0
113.81,3,3.07,1,0,1,0.807,0
98.69,9,33.74,0,1,1,0.71,0
181.21,8,25.47,1,1,0,0.645,0
44.07,5,11.95,2,1,1,0.755,0
124.28,19,2.75,3,0,0,0.287,0
14.59,15,26.5,3,1,0,0.875,0
48.35,17,9.46,4,1,0,0.623,0
280.25,15,5.99,1,1,0,0.045,0
27.65,21,4.17,1,1,1,0.625,0
136.42,0,12.86,6,0,0,0.61,0
35.81,20,43.75,2,0,0,0.602,0
76.64,15,0.77,5,0,0,0.21,0
14.42,10,0.52,1,1,1,0.761,0
394.02,17,2.49,4,1,1,0.246,0
306.61,19,7.55,1,1,0,0.561,0
32.88,16,1.43,4,0,1,0.969,0
24.3,15,2.57,2,0,0,0.085,0
13.44,23,44.43,2,1,1,0.467,0
85.21,12,0.75,3,0,1,0.399,0
83.71,11,49.32,3,1,1,0.58,1
121.85,0,17.87,2,0,0,0.708,0
106.48,19,7.98,0,1,1,0.98,0
25.61,5,21.8,5,1,0,0.715,0
201.6,9,24.97,4,0,0,0.817,0
329.82,16,28.48,3,1,1,0.689,0
50.39,18,22.02,4,0,1,0.838,0
38.15,2,4.19,8,1,0,0.594,1
55.09,18,13.22,2,1,1,0.72,1
46.52,3,4.23,2,1,1,0.933,1
164.72,18,5.22,2,1,1,0.039,0
170.2,5,9.15,4,1,1,0.797,0
127.93,8,2.1,4,0,1,0.641,0
50.39,13,26.5,3,0,0,0.261,0
72.12,7,6.48,4,0,0,0.372,0
190.53,20,2.86,2,0,0,0.351,0
128.7,8,8.26,3,1,1,0.57,0
85.03,14,17.35,3,1,1,0.376,0
97.36,1,3.57,2,0,1,0.132,0
216.15,10,13.92,2,1,0,0.632,0
47.51,15,2.3,3,0,0,0.43,0
24.74,11,4.55,0,0,1,0.695,0
48.48,6,25.02,3,1,1,0.263,1
457.71,1,64.91,8,1,1,0.583,1
30.95,17,13.04,5,1,0,0.64,1
233.7,13,9.96,4,1,1,0.52,0
22.85,16,9.31,3,0,1,0.611,0
71.01,1,2.61,5,0,1,0.61,1
133.93,0,4.7,4,1,0,0.399,0
47.13,6,0.11,4,0,1,0.548,0
36.35,19,10.02,4,1,0,0.513,0
103.74,15,64.38,4,0,1,0.59,1
24.28,22,0.22,2,1,1,0.014,0
203.79,17,5.69,1,0,1,0.516,0
38.07,6,18.38,2,1,0,0.475,0
112.06,19,14.19,4,1,0,0.025,0
38.12,19,4.54,3,1,0,0.664,0
60.79,9,3.84,2,1,0,0.455,0
59.57,9,2.37,2,0,1,0.737,0
183.08,17,15.26,7,0,0,0.071,0
123.23,20,8.84,1,1,0,0.547,0
21.63,18,3.53,3,0,1,0.851,0
16.15,8,22.43,3,1,1,0.261,0
21.03,6,5.12,1,0,0,0.835,0
29.54,14,4.9,3,1,1,0.197,0
194.71,23,66.82,3,1,1,0.436,1
79.99,5,1.94,8,0,1,0.297,0
203.41,14,22.91,1,0,1,0.183,0
30.83,4,6.68,3,1,1,0.324,0
51.2,14,7.69,2,0,0,0.721,0
43.49,12,5.42,2,1,1,0.84,0
14.42,5,3.72,0,0,1,0.927,0
225.9,20,13.65,4,0,0,0.072,0
22.8,14,3.85,3,1,1,0.112,0
19.5,9,16.93,0,1,1,0.961,0
90.78,11,21.92,5,0,0,0.187,0
189.31,23,30.19,5,0,1,0.169,0
151.01,17,6.12,4,0,1,0.37,0
112.61,3,2.51,5,0,0,0.892,0
309.21,22,24.14,2,1,0,0.966,0
37.07,20,55.86,6,1,0,0.954,1
12.55,13,20.1,4,0,1,0.971,1
116.82,1,6.36,2,0,0,0.637,0
47.37,4,30.43,5,0,1,0.579,1
126.45,1,2.73,4,0,0,0.939,0
456.5,5,9.64,2,1,1,0.83,0
197.37,1,16.8,5,0,0,0.273,0
94.96,16,10.23,3,1,0,0.279,0
38.82,9,6.57,3,0,1,0.493,0
205.64,0,7.33,4,1,0,0.914,1
198.46,11,10.27,3,0,0,0.261,0
154.03,6,41.77,2,1,0,0.515,0
89.07,13,2.46,1,1,1,0.931,0
27.93,1,17.85,2,0,1,0.898,1
90.74,1,21.41,3,1,1,0.551,1
246.72,9,13.35,4,0,1,0.835,0
34.55,19,80.22,3,0,1,0.439,1
130.69,14,6.78,5,1,1,0.954,1
519.6,10,7.83,6,0,0,0.313,0
137.87,4,30.01,6,0,1,0.698,1
129.08,22,13.5,3,0,0,0.018,0
83.26,21,16.78,1,1,0,0.946,0
148.99,23,11.36,3,1,1,0.634,0
1546.27,9,9.21,2,0,0,0.758,0
33.89,21,18.91,2,0,0,0.512,0
35.58,8,1.73,2,1,0,0.228,0
97.4,8,14.96,3,1,1,0.28,0
25.96,8,15.59,3,1,1,0.411,0
