age,income,credit_score,employment_years,debt,credit_limit,previous_defaults,utilization,payment_history,default
64,34975.68,777.0,33,46606.33,33666.68,0,0.4828,73.48,1
28,59371.69,850.0,19,17205.69,35746.03,0,0.4375,79.37,0
57,48671.77,570.0,24,13107.23,56668.81,1,0.4207,100.0,1
29,85335.87,638.0,32,18311.55,45583.65,0,0.6156,78.63,0
38,65761.46,647.0,27,500.0,20989.94,0,0.1193,71.68,0
50,58778.49,630.0,10,8881.58,24643.55,0,0.3494,71.22,0
56,62664.0,615.0,4,29798.88,42918.9,0,0.1849,95.68,1
63,69908.68,669.0,4,10452.66,25014.06,0,0.3973,93.97,1
23,78569.91,605.0,30,8053.5,3000.0,1,0.4733,76.17,1
30,43006.33,713.0,19,33714.31,34148.15,1,0.435,59.49,1
34,42085.07,694.0,10,34083.05,11316.6,0,0.7687,68.46,1
36,89302.94,724.0,12,24203.89,60860.51,0,0.6183,100.0,0
69,55928.59,726.0,9,12538.59,37828.6,1,0.0692,90.27,1
59,33829.47,732.0,28,15126.35,20517.2,0,0.4873,82.79,0
36,74763.88,664.0,21,8350.2,23821.88,1,0.6933,100.0,1
68,75194.14,838.0,30,6062.72,4769.64,0,0.5468,100.0,0
45,31324.26,706.0,10,5467.0,17408.61,0,0.7293,81.57,0
45,70048.6,560.0,16,10583.35,51261.17,0,0.5148,81.79,1
42,81182.83,620.0,4,5583.35,70708.58,0,0.6665,75.02,0
28,73236.5,568.0,33,500.0,46622.34,0,0.483,78.58,1
66,78903.59,691.0,17,20632.83,33527.32,1,0.4544,64.16,1
21,34106.08,681.0,19,20815.15,28088.65,0,0.4941,64.12,1
29,72282.88,657.0,14,38409.51,19696.07,1,0.2987,61.33,1
32,58342.37,831.0,9,9979.94,67956.25,0,0.2384,95.01,0
34,54378.62,728.0,33,21553.21,31980.02,0,0.467,63.26,1
27,84152.22,741.0,17,21752.55,68850.08,0,0.3009,100.0,0
21,97544.04,625.0,23,14953.95,57296.31,0,0.6443,73.24,1
54,104476.14,620.0,1,26932.0,7147.26,2,0.7716,100.0,1
68,93925.77,693.0,9,27302.75,24344.76,0,0.2067,77.62,0
26,62585.85,702.0,28,21928.93,24295.28,1,0.0893,63.21,1
35,72759.84,560.0,3,14932.32,33722.46,1,0.1902,97.41,1
45,81870.1,677.0,3,13709.64,34034.97,1,0.3548,98.82,0
66,67665.91,691.0,28,1586.95,82939.83,0,0.7146,71.13,0
55,67876.81,675.0,10,8328.99,17764.35,0,0.6609,78.02,0
58,83122.57,633.0,9,10535.91,38663.52,1,0.1762,71.13,1
49,63695.78,652.0,19,4512.34,44864.12,0,0.545,80.55,0
41,48955.69,678.0,6,23279.09,34974.85,0,0.3253,83.29,0
30,55881.59,696.0,1,32359.53,36762.89,0,0.353,77.78,1
63,78946.03,732.0,0,7103.25,18283.06,0,0.3198,60.17,0
60,65065.85,766.0,2,21401.3,36703.78,0,0.432,75.03,1
22,72484.62,669.0,5,5590.67,43182.38,0,0.5057,90.44,1
56,79741.74,658.0,24,14340.93,40241.61,1,0.4062,79.49,1
25,56753.49,721.0,10,9716.05,44123.21,0,0.3459,78.07,0
57,81637.46,733.0,2,25222.75,57601.73,0,0.8527,70.83,1
61,73334.54,660.0,0,9854.54,49991.46,1,0.7295,74.68,1
27,37834.11,745.0,16,30139.92,36140.71,1,0.6594,98.91,1
42,96730.71,759.0,29,15051.35,16251.87,0,0.6667,68.32,0
27,53983.62,780.0,11,10204.76,25399.92,2,0.407,90.65,0
48,28587.9,814.0,2,2960.34,31485.9,0,0.3192,82.56,0
66,42009.04,629.0,7,21038.45,39037.53,0,0.7343,84.94,1
24,42537.01,691.0,17,28742.62,27346.68,0,0.6181,73.21,1
40,66147.81,691.0,6,21279.86,20028.27,2,0.1035,77.78,1
68,58975.29,683.0,34,44865.98,15988.82,0,0.2266,81.93,1
35,57589.7,645.0,26,35157.45,8581.16,0,0.732,75.75,1
27,78633.44,586.0,12,14309.67,31240.79,0,0.3333,85.98,1
44,72477.26,696.0,33,14183.67,11485.35,1,0.6634,87.49,0
45,71953.05,636.0,11,23636.36,18991.59,0,0.3939,100.0,0
53,74016.23,696.0,4,7943.77,28697.57,0,0.6125,85.34,0
36,78554.96,634.0,32,31995.46,13625.32,1,0.2975,59.05,0
67,18625.03,613.0,33,22339.21,41076.04,0,0.537,95.96,0
46,56982.36,706.0,10,21077.51,46843.57,0,0.135,79.55,1
35,18000.0,701.0,20,26243.44,26209.17,0,0.6134,100.0,1
68,65793.32,731.0,6,38673.96,28007.56,0,0.5752,99.65,0
66,64898.07,843.0,22,20051.46,43598.88,0,0.6869,75.94,0
45,88001.71,709.0,24,16643.52,23576.08,0,0.2207,90.66,0
22,91127.96,724.0,24,36104.64,22476.26,0,0.5488,74.87,1
50,69461.05,615.0,19,29610.6,54143.98,1,0.3831,82.03,1
48,53992.06,600.0,24,14148.24,49147.0,0,0.2525,90.11,1
28,75673.54,801.0,19,18062.24,44624.8,0,0.5071,95.36,0
52,53385.81,625.0,28,20344.57,49810.31,1,0.2464,92.74,1
62,64969.36,617.0,6,22341.76,3363.54,1,0.4088,82.9,1
26,86695.0,687.0,16,1720.8,56661.37,0,0.0714,100.0,0
56,52729.03,684.0,14,500.0,41272.99,0,0.6402,77.62,0
27,82724.93,627.0,18,7351.32,51172.5,0,0.3867,62.71,1
57,79902.83,669.0,4,6423.14,41194.59,0,0.3459,65.02,0
41,43994.58,776.0,11,10274.11,35782.8,0,0.4872,99.69,0
21,86425.67,634.0,33,25616.53,30595.05,0,0.6425,81.08,0
68,80368.46,592.0,3,15972.85,40874.31,0,0.1526,83.91,0
29,67242.37,756.0,22,20356.74,30012.03,0,0.5485,75.49,0
50,48228.88,724.0,23,3308.36,48886.02,0,0.2407,76.57,0
29,46097.47,647.0,16,12460.29,9616.69,1,0.4634,72.55,1
66,53171.42,579.0,1,25047.09,26334.79,1,0.2803,87.65,1
57,76937.08,638.0,1,25139.43,67717.17,1,0.1191,80.83,0
60,43976.25,686.0,9,9305.11,24982.71,0,0.2576,87.22,0
42,74625.27,772.0,3,19939.95,31181.06,1,0.2494,86.07,0
43,37681.38,617.0,3,44386.17,20878.71,0,0.5425,76.89,1
52,60510.49,684.0,5,17788.82,40373.53,1,0.2915,64.5,1
59,67412.25,737.0,6,9681.76,23219.76,0,0.6366,63.45,0
62,118792.86,523.0,29,15914.85,32030.23,0,0.3779,100.0,1
21,34699.06,762.0,22,19106.13,48581.86,0,0.3226,99.74,0
53,97384.32,607.0,1,16185.98,23819.79,0,0.6974,98.08,1
26,68296.53,713.0,21,17623.74,47617.78,0,0.1435,73.9,1
35,74045.78,707.0,4,678.64,48155.67,0,0.4495,82.11,0
61,67603.65,766.0,14,6448.43,51879.3,0,0.2215,72.22,0
33,74783.99,729.0,1,16207.98,37248.66,0,0.4386,66.26,0
60,61618.93,524.0,3,16016.78,86860.15,0,0.6204,74.93,1
43,96989.1,635.0,4,11205.73,51872.54,0,0.4376,97.91,1
32,54957.63,700.0,15,15875.84,40198.04,0,0.4051,92.09,0
37,89909.16,676.0,16,18732.18,20985.21,0,0.135,70.36,0
47,50823.92,723.0,12,28672.96,33447.05,2,0.4227,78.22,1
58,63674.46,745.0,21,16809.46,57821.23,0,0.6376,90.99,0
50,41416.82,733.0,25,22789.24,62352.55,2,0.361,75.15,1
66,75010.52,675.0,25,11500.8,58653.27,0,0.4163,82.96,0
63,96792.77,561.0,20,24865.15,47563.08,0,0.3933,86.82,1
57,63298.16,658.0,19,22508.76,14909.44,0,0.6993,86.69,1
50,60668.51,719.0,17,28389.8,42794.59,1,0.1281,85.05,1
35,40478.43,614.0,8,26561.53,15137.56,0,0.5917,74.16,1
41,59955.56,734.0,17,25064.83,11200.46,0,0.7483,75.39,0
26,29958.53,754.0,0,16818.99,38826.54,1,0.3452,68.4,1
39,44916.68,699.0,33,20939.27,43371.19,1,0.3937,63.26,1
66,69989.29,476.0,12,30762.11,49454.03,0,0.3886,80.62,1
41,94018.29,601.0,26,10175.11,42954.18,0,0.5559,91.8,1
26,126802.64,822.0,33,10459.11,43505.38,0,0.4553,65.44,0
52,52095.13,652.0,17,20177.18,19245.56,1,0.5663,85.28,1
68,96576.6,551.0,30,22983.36,33320.37,0,0.5834,91.42,1
63,70362.55,776.0,16,8110.72,10886.13,0,0.1963,59.96,1
34,61672.55,691.0,4,17102.85,3000.0,0,0.168,78.75,0
43,74517.08,767.0,0,16872.01,46850.28,0,0.6639,100.0,0
47,66362.16,709.0,4,500.0,22950.01,1,0.5333,88.62,1
33,67428.71,722.0,32,15364.87,48959.98,0,0.0354,59.55,0
34,56016.67,715.0,16,16112.19,52733.56,0,0.4526,89.9,0
32,34241.59,739.0,11,16076.48,25090.92,0,0.2224,73.03,0
69,31040.25,849.0,15,34990.97,44444.98,0,0.118,90.3,0
57,79371.39,758.0,8,3410.42,24421.49,0,0.3271,73.72,0
62,58912.6,579.0,30,8104.53,5465.94,0,0.775,81.36,0
61,51886.04,721.0,34,500.0,36972.95,1,0.143,75.55,0
67,65187.12,770.0,2,12229.0,27466.02,1,0.3324,82.04,0
26,82488.51,774.0,25,13252.28,27958.58,0,0.2878,75.19,0
64,68968.01,660.0,11,11880.27,66605.49,1,0.4667,79.32,1
24,50566.79,772.0,1,31292.13,10586.29,0,0.087,67.89,0
44,91978.45,755.0,32,28327.41,41125.94,0,0.3327,87.89,0
50,99742.08,850.0,2,18934.28,19083.08,1,0.5974,84.1,0
38,75880.25,637.0,7,13552.64,49532.18,0,0.3229,62.6,0
28,86420.6,654.0,0,30314.28,39774.9,0,0.6619,93.91,0
30,92323.12,669.0,16,17762.91,41069.51,0,0.4339,79.88,1
61,89862.18,656.0,20,8180.76,19881.77,0,0.365,83.94,0
36,78510.18,628.0,11,500.0,22750.59,0,0.2331,91.17,0
36,78163.64,497.0,2,12704.23,49836.01,0,0.6625,85.94,1
66,76432.53,660.0,4,27055.72,63332.76,1,0.4936,95.98,1
28,40858.57,716.0,32,45318.46,42684.93,0,0.5588,78.48,1
65,80415.91,655.0,28,18739.32,20641.27,1,0.2514,94.41,0
66,35172.09,825.0,32,8815.73,40423.02,1,0.1348,83.48,0
50,47518.81,691.0,18,3780.42,73839.55,0,0.3021,88.09,0
29,93678.43,780.0,19,24623.46,36638.76,0,0.3575,86.84,0
28,83484.84,708.0,27,500.0,58389.45,0,0.3848,96.89,0
34,97722.76,748.0,21,24604.14,23154.73,0,0.5191,90.66,1
49,59023.16,710.0,15,27812.54,34326.62,0,0.3323,76.68,1
28,39650.53,786.0,10,23235.35,44913.04,0,0.8368,74.3,0
43,59710.38,694.0,16,15364.06,41357.25,0,0.8332,81.4,1
26,67244.69,725.0,2,24779.29,22737.78,0,0.353,72.88,0
47,66737.75,716.0,6,20051.26,22047.72,1,0.2585,69.37,1
22,89940.97,670.0,25,8662.51,50812.55,1,0.4126,56.46,1
55,57052.05,718.0,30,40204.95,54064.81,0,0.457,63.41,0
23,72744.76,846.0,3,13779.85,59194.3,0,0.3512,100.0,0
30,43250.2,671.0,3,27309.03,63862.89,0,0.4841,74.12,1
29,74906.98,719.0,2,500.0,37153.91,0,0.369,100.0,0
61,65068.39,778.0,27,33317.65,30020.81,1,0.4257,86.84,0
23,48504.11,770.0,10,35625.16,56615.86,1,0.5842,81.4,0
42,59811.75,691.0,11,18358.01,46409.11,0,0.5644,63.99,0
49,60948.13,523.0,0,24705.25,19280.72,0,0.5577,82.06,1
46,59056.59,726.0,34,24702.18,18461.83,1,0.8203,100.0,1
54,103969.51,535.0,15,10286.6,42870.88,0,0.3233,100.0,0
60,62834.19,793.0,27,24565.47,32163.61,0,0.4209,85.29,0
40,59634.29,702.0,24,8296.43,34577.12,0,0.1991,68.22,0
61,18856.08,760.0,4,10694.92,52160.53,2,0.4156,70.51,1
36,45327.44,627.0,28,31523.32,47144.59,2,0.3294,71.77,1
69,59212.38,581.0,19,29695.89,56277.97,0,0.2189,97.34,0
45,49911.24,708.0,21,9523.49,4095.42,0,0.5543,100.0,0
57,95397.57,688.0,7,9197.08,39054.37,0,0.4435,84.35,0
63,61371.37,656.0,29,10252.84,46115.02,0,0.9514,78.36,1
59,93345.77,696.0,32,26791.67,10574.63,0,0.7715,100.0,0
62,66357.5,850.0,14,6000.18,24521.67,2,0.1425,70.26,0
47,65819.01,748.0,3,22280.55,21552.24,1,0.5251,82.62,1
23,63046.48,763.0,29,26962.16,35347.17,0,0.3674,87.56,0
45,65083.52,749.0,31,16941.05,61045.66,0,0.1193,71.65,0
29,102813.49,794.0,17,30120.76,67361.43,0,0.2747,74.37,0
64,18000.0,677.0,20,14348.28,21971.4,0,0.3661,73.44,0
32,20965.99,546.0,7,15433.73,43424.92,0,0.8176,99.0,1
32,53050.24,677.0,2,6273.05,43940.77,0,0.3735,100.0,1
33,65319.61,747.0,33,30206.13,41202.01,0,0.3813,83.38,1
52,80182.3,622.0,16,8801.75,41383.67,1,0.2449,78.78,0
48,75407.92,678.0,9,22197.26,39859.88,0,0.8121,74.8,1
67,56546.59,642.0,24,17144.21,62001.12,0,0.1423,82.02,0
41,87418.96,795.0,0,5366.6,52639.46,0,0.4892,75.4,0
34,87664.3,742.0,2,10690.76,18037.54,0,0.4196,80.84,0
23,69049.27,736.0,8,34594.47,47731.54,0,0.4465,86.96,0
21,86178.47,734.0,15,20419.89,49277.97,0,0.2438,77.14,1
39,70998.2,687.0,12,5890.2,40039.48,0,0.6249,79.72,0
66,52647.37,704.0,6,21663.94,53102.79,0,0.274,79.77,0
46,80351.97,607.0,12,16246.63,38009.18,0,0.2972,78.19,0
64,67433.49,537.0,11,59448.56,38207.48,0,0.5654,76.7,1
25,65029.48,701.0,18,21421.49,36939.85,0,0.4578,91.15,0
25,97404.98,713.0,19,13432.5,3000.0,0,0.5621,60.75,1
61,18000.0,775.0,30,35040.34,33713.63,0,0.458,100.0,0
26,33810.95,800.0,28,500.0,24307.99,0,0.0752,83.63,0
23,38884.45,800.0,10,19131.84,16016.83,0,0.2755,89.32,0
40,57008.27,620.0,31,41933.14,57944.29,0,0.1769,90.7,1
66,59398.62,665.0,18,16605.61,43067.32,0,0.6525,73.5,1
54,31838.84,724.0,6,500.0,34522.7,0,0.0369,71.03,0
25,43326.52,850.0,11,13248.98,25963.15,0,0.4873,69.61,0
62,46061.48,794.0,25,35454.22,39738.71,0,0.0712,79.04,0
62,119063.33,768.0,28,22512.84,50862.98,3,0.244,90.39,1
60,104638.32,663.0,13,7933.73,21768.55,0,0.2123,74.99,0
65,55941.51,628.0,5,9777.09,34922.75,0,0.4924,89.3,1
32,57001.17,745.0,6,11283.6,48889.06,0,0.4032,53.58,0
68,39717.51,613.0,3,22334.37,4023.98,0,0.7733,77.37,1
36,23021.13,673.0,24,34058.35,34078.88,0,0.2343,96.01,0
60,62428.64,682.0,17,30629.08,28131.34,0,0.3931,79.95,0
49,43047.26,802.0,15,23472.15,32858.72,0,0.1722,72.05,0
59,63133.29,665.0,23,2020.26,26973.94,0,0.8049,74.12,0
51,29795.47,519.0,29,2064.81,37201.99,0,0.6098,45.66,1
52,48236.56,725.0,27,24399.02,65778.04,1,0.6844,69.86,1
51,68269.8,641.0,4,1854.35,29817.24,0,0.3331,94.69,0
59,73056.61,693.0,20,15293.2,39667.38,1,0.4339,75.01,1
57,74184.38,684.0,30,21649.81,66915.94,0,0.7269,76.43,1
27,35949.24,671.0,27,4348.87,26199.75,0,0.8261,54.02,1
61,83803.09,745.0,11,5708.85,64034.81,0,0.6223,62.43,0
47,47395.34,583.0,13,16870.55,35085.17,0,0.9358,96.28,1
36,78922.87,654.0,31,24043.8,63510.34,1,0.6453,89.41,1
46,64765.95,738.0,1,30738.23,47003.22,2,0.3258,66.43,1
68,34719.48,647.0,18,25284.64,39913.73,1,0.3262,74.43,1
63,58043.65,577.0,4,18883.88,33949.91,0,0.2137,81.65,1
61,73038.0,737.0,31,9045.66,25015.34,1,0.4037,67.65,1
43,78485.24,769.0,1,5149.12,36212.66,1,0.3916,57.95,0
59,61898.27,687.0,0,11869.47,49357.78,0,0.306,80.09,0
39,98699.14,553.0,11,22919.23,34790.22,0,0.4552,88.87,1
54,87165.24,739.0,7,22039.48,29934.04,0,0.4705,89.1,0
52,59353.61,574.0,17,500.0,30987.48,1,0.411,92.5,1
33,81502.68,712.0,10,8571.88,50879.63,0,0.2644,63.36,0
34,107543.46,628.0,12,32454.09,54602.58,0,0.6145,82.69,1
23,108130.66,609.0,19,18950.58,24325.59,0,0.1033,78.78,1
27,37984.0,659.0,19,995.89,24302.59,0,0.8618,80.95,0
42,44616.27,677.0,32,46269.85,41069.74,0,0.4956,79.46,1
44,97668.21,645.0,16,17652.7,59440.51,1,0.2433,74.07,1
29,41717.82,731.0,19,22612.01,53335.84,1,0.2302,45.79,1
41,35904.1,659.0,23,22794.3,14970.36,1,0.2604,95.94,1
50,54303.73,759.0,6,13588.85,30774.78,0,0.4735,85.96,0
32,74244.99,710.0,23,9269.12,20110.34,0,0.3892,64.19,0
37,62747.27,641.0,30,43460.1,30719.8,1,0.441,87.68,1
39,50687.6,629.0,11,30038.47,60670.56,0,0.1354,76.63,1
45,50167.33,575.0,6,27863.25,12238.39,0,0.5543,76.97,0
38,49328.58,710.0,12,24915.47,9098.16,0,0.6967,72.78,0
57,45650.79,665.0,9,5960.19,21743.13,1,0.5974,88.44,0
37,115195.92,524.0,20,33330.36,39596.97,0,0.7021,72.4,1
42,71545.24,652.0,30,7882.41,44932.08,0,0.2279,68.84,1
39,84508.7,627.0,20,21399.44,41999.17,0,0.156,95.58,0
29,54240.3,800.0,4,500.0,53810.97,1,0.6868,79.85,0
54,60908.95,571.0,11,500.0,6790.63,1,0.7159,80.23,1
32,49301.81,589.0,24,21819.49,54013.38,1,0.5317,90.31,1
35,18000.0,768.0,11,8290.81,30006.47,1,0.6253,73.99,1
59,34683.8,785.0,20,500.0,46703.91,0,0.3541,76.38,0
67,25166.39,638.0,24,24487.31,13825.19,1,0.1198,85.67,1
53,18000.0,646.0,11,43440.97,35079.31,0,0.2609,63.5,1
65,38702.1,733.0,22,34674.72,38780.33,0,0.3106,84.65,0
62,94149.02,527.0,13,14912.19,53492.02,0,0.4346,72.93,1
44,64022.4,560.0,4,18106.14,9635.93,1,0.5189,92.27,1
58,93392.4,670.0,13,28652.48,35492.04,0,0.2203,88.56,0
37,74041.62,798.0,15,31465.54,17636.24,0,0.6903,86.97,1
43,82216.29,659.0,0,13877.57,43087.94,0,0.3855,62.72,0
47,45180.27,697.0,31,18410.13,47435.46,0,0.2726,80.76,1
68,76526.92,769.0,18,21607.38,55594.72,0,0.2513,67.87,0
62,81031.71,837.0,1,24646.52,26439.53,0,0.126,81.56,0
44,52313.76,650.0,30,16403.08,49835.62,0,0.6377,54.22,1
52,77309.89,689.0,29,16558.98,56774.43,0,0.1687,63.51,0
30,77456.13,818.0,0,34557.99,8708.05,0,0.3652,96.27,0
60,52909.84,583.0,5,32514.25,44797.52,1,0.6181,86.43,1
48,40299.09,762.0,12,23728.93,50336.18,0,0.1079,77.75,0
47,38949.18,619.0,17,38629.31,30860.38,1,0.3517,71.1,1
58,66903.12,697.0,25,13362.65,15627.62,0,0.3974,68.99,1
52,72194.22,673.0,14,37475.68,50087.29,1,0.3409,84.4,0
24,47564.43,623.0,21,24510.19,15807.86,1,0.5947,77.88,1
35,65584.88,621.0,0,57252.31,32146.38,2,0.2638,100.0,1
29,77551.81,709.0,23,3690.22,34358.02,1,0.3583,79.78,1
57,78600.2,760.0,32,9727.86,46448.61,0,0.6682,82.7,0
22,99141.36,681.0,18,23025.57,24973.9,0,0.5831,65.34,1
30,93093.58,695.0,15,22766.81,24046.66,0,0.3477,77.67,1
50,42971.59,730.0,10,41401.67,36582.65,0,0.5267,84.12,0
55,102038.9,622.0,33,9979.5,51102.25,0,0.1573,77.53,0
45,53318.52,742.0,1,28859.02,71599.2,0,0.4131,76.17,0
63,87987.2,747.0,10,31949.56,10880.3,0,0.4463,85.92,0
66,66495.71,850.0,4,26455.77,40045.47,1,0.9134,100.0,1
27,55932.71,664.0,30,6468.04,17615.44,1,0.1328,83.74,1
67,25230.67,658.0,16,34893.11,51300.98,1,0.6769,95.73,1
51,61225.58,744.0,32,32751.9,19983.29,1,0.5518,89.46,1
52,30693.57,747.0,23,25195.01,24205.63,1,0.0964,95.01,0
25,86280.58,653.0,19,20452.17,25571.67,0,0.4207,74.68,1
51,98369.44,662.0,18,20713.3,33780.82,0,0.698,79.52,1
56,47467.96,728.0,7,17055.17,40171.16,1,0.4456,79.57,1
49,71643.36,632.0,19,25689.42,42739.22,1,0.7008,88.56,1
25,49041.39,661.0,23,18373.62,34907.72,0,0.4978,91.51,0
46,51173.34,696.0,33,7817.7,13721.74,0,0.383,83.5,0
66,82038.88,760.0,19,5416.9,46644.58,0,0.0543,92.52,0
56,64152.16,648.0,32,8975.56,34152.66,1,0.5807,75.24,1
27,103272.26,561.0,33,20665.59,53587.76,1,0.5199,92.62,1
68,54390.89,556.0,18,17676.53,23676.18,1,0.7914,94.19,1
67,86985.4,602.0,15,20584.13,9363.6,0,0.7439,90.13,1
29,67143.1,598.0,4,24009.76,34455.58,0,0.3059,83.61,0
60,82507.12,679.0,9,10472.15,55735.24,0,0.587,90.56,0
40,55162.53,607.0,30,35587.92,37575.07,2,0.4094,71.27,1
50,63909.71,641.0,4,14787.47,31805.28,0,0.3093,84.38,1
42,62459.02,636.0,13,12798.88,21074.45,0,0.4418,85.61,0
59,46606.74,659.0,24,23788.63,63124.26,0,0.4428,66.05,0
69,79565.79,783.0,8,500.0,18526.36,0,0.2854,87.7,0
59,79305.48,736.0,34,8513.59,23393.69,0,0.5476,67.01,0
66,78058.2,691.0,22,29772.87,44120.55,0,0.472,76.86,0
67,98813.24,658.0,0,500.0,5303.67,1,0.7436,82.48,1
25,96885.59,660.0,8,31410.89,55393.45,0,0.4284,73.23,1
33,56751.22,713.0,25,36133.64,44987.09,0,0.179,82.99,0
56,73207.15,731.0,30,13566.54,49387.7,0,0.5339,82.8,1
49,51280.78,626.0,32,21501.75,43929.87,0,0.5147,72.16,0
23,65513.82,693.0,29,31429.05,32422.02,0,0.2988,88.82,1
25,51805.51,548.0,2,12398.53,17989.62,0,0.4107,72.83,0
46,100641.55,705.0,25,28413.31,32758.79,1,0.1919,100.0,1
51,73001.36,743.0,3,9946.21,19396.22,1,0.3466,80.69,0
29,60203.36,670.0,2,12268.77,42778.48,0,0.2943,67.94,1
29,91259.61,817.0,24,8407.96,47908.48,0,0.3459,70.19,0
27,18000.0,628.0,16,22111.77,58628.94,0,0.5434,95.77,1
48,20689.74,705.0,22,31895.63,40948.28,2,0.7772,77.09,1
21,82508.45,687.0,29,15790.64,49793.21,0,0.1715,65.63,0
49,66330.31,683.0,2,2745.01,30245.68,0,0.0338,92.24,0
44,70509.82,682.0,18,5007.52,27347.57,0,0.4505,77.01,0
43,35819.29,697.0,29,22735.19,42578.75,1,0.2369,89.84,1
54,64488.86,749.0,15,40129.4,28816.43,0,0.7125,93.23,0
46,109077.21,786.0,18,22724.7,39306.97,0,0.6819,85.29,0
56,83132.39,690.0,17,13357.24,18020.92,0,0.8025,100.0,1
58,68733.54,747.0,31,27194.21,20893.96,0,0.7508,61.3,0
66,55340.81,641.0,1,15126.02,45166.55,1,0.1205,72.18,1
60,56319.4,744.0,30,13460.58,49187.04,0,0.4807,78.93,0
46,18157.65,637.0,28,6498.49,19229.5,0,0.4363,100.0,0
45,70668.09,766.0,28,34901.39,45729.83,0,0.7011,100.0,0
32,83600.63,845.0,14,500.0,26476.23,0,0.4253,97.46,0
50,30336.37,681.0,18,27574.31,35264.08,0,0.4758,72.47,1
27,50448.83,537.0,12,12435.06,57671.11,0,0.2327,73.87,1
66,39535.78,652.0,8,13075.91,47919.8,0,0.6985,72.06,1
62,43762.27,776.0,30,38307.78,47733.95,1,0.0378,72.6,0
26,66176.6,729.0,17,9430.43,65540.65,1,0.3705,99.91,0
59,19143.15,707.0,25,9839.17,23737.93,1,0.2083,79.07,1
26,78513.95,761.0,3,16435.27,19226.0,0,0.4395,80.66,0
56,81584.81,724.0,27,22966.17,23446.04,0,0.1709,91.29,0
25,59475.74,775.0,23,12697.73,30927.98,0,0.1803,62.04,1
44,18000.0,754.0,34,500.0,3000.0,1,0.2948,82.63,1
53,43078.79,797.0,4,7611.62,31681.15,0,0.5345,68.84,0
56,92123.84,715.0,18,33376.01,26286.87,1,0.4966,78.47,0
41,18000.0,753.0,17,18897.32,47540.16,2,0.4203,74.96,1
66,57354.48,669.0,18,23413.05,40638.71,1,0.3507,74.34,0
58,39039.98,648.0,1,14862.95,25388.85,0,0.6724,84.71,1
31,82700.55,809.0,16,10086.03,44439.37,1,0.3532,84.65,0
53,50147.49,705.0,10,38130.83,46572.21,0,0.665,79.36,1
56,73886.99,746.0,21,15741.7,22703.27,0,0.2796,86.45,0
37,77440.13,699.0,8,12679.56,27111.61,0,0.554,71.58,0
57,105396.97,649.0,15,31153.71,3000.0,0,0.2648,90.18,1
65,60535.28,691.0,21,9331.68,17549.44,0,0.6785,79.53,0
61,73272.98,791.0,2,10863.27,23120.49,1,0.5624,76.2,0
58,32328.78,729.0,27,18122.96,36186.66,0,0.6451,72.46,1
52,91189.1,570.0,25,18003.24,19873.88,0,0.2228,79.1,1
34,48268.81,675.0,2,21115.34,26784.77,0,0.2861,100.0,0
59,52663.41,815.0,2,43100.03,15394.71,0,0.2541,81.24,0
38,64510.55,675.0,29,22034.98,37737.82,0,0.1362,68.27,1
47,30616.54,564.0,9,500.0,41811.43,0,0.1871,93.03,1
36,70032.94,823.0,30,21915.59,41437.85,0,0.4097,76.34,0
36,86284.26,738.0,17,18454.56,35197.78,0,0.2999,85.41,0
28,71444.54,685.0,11,18521.4,10342.83,0,0.3691,74.73,0
68,30044.25,664.0,9,20951.37,25080.74,0,0.2904,97.37,0
28,62276.2,766.0,23,17655.86,28483.09,0,0.3028,74.91,1
25,81324.64,652.0,3,17368.65,28547.27,0,0.4715,98.77,1
66,23684.25,770.0,14,25356.53,36199.7,0,0.2514,69.41,0
48,41355.15,728.0,12,11495.03,57808.66,0,0.3572,78.49,0
42,84283.96,707.0,5,6627.76,47993.54,0,0.1553,98.8,0
57,70942.1,700.0,12,54285.38,19199.72,0,0.2458,84.02,0
39,74063.37,678.0,18,9409.71,45854.45,1,0.5369,100.0,1
27,105908.89,763.0,23,19201.71,45244.84,0,0.732,78.77,0
56,75308.16,629.0,3,500.0,22102.92,0,0.5825,85.08,0
29,79473.54,576.0,30,19397.62,48581.85,2,0.6386,100.0,1
48,124636.4,733.0,30,6801.29,32433.97,0,0.0834,63.83,0
67,60296.3,734.0,24,12690.32,12440.74,0,0.3079,62.35,0
66,47446.58,724.0,32,30540.78,42283.24,0,0.1812,72.45,1
38,74411.52,719.0,14,23664.11,38471.39,0,0.3014,91.76,0
59,74657.8,668.0,28,24820.91,31357.16,0,0.06,62.68,0
51,53412.26,745.0,25,500.0,34400.75,2,0.2543,89.16,0
44,42287.27,687.0,19,40042.74,23494.63,1,0.3425,88.32,1
27,115816.58,656.0,6,3697.42,44762.09,0,0.4656,100.0,0
39,72190.56,668.0,19,36342.73,34304.79,1,0.5081,94.55,1
52,48889.72,831.0,31,30258.53,37663.18,0,0.2188,86.37,0
69,85150.47,569.0,34,24927.99,40714.27,0,0.7052,98.31,1
21,62598.81,725.0,15,7740.18,16526.63,0,0.7276,88.47,0
56,59436.61,572.0,8,19819.08,20691.47,0,0.8046,76.48,1
62,77370.0,682.0,26,12348.94,3000.0,0,0.753,68.26,0
67,36578.59,660.0,2,18348.47,44035.88,0,0.3784,75.17,1
41,72757.8,544.0,5,15001.53,15604.64,0,0.3678,81.52,1
